Internal ID,Project Name,RERA ID,Developer,Type,Latitude,Longitude
5136,RR Livingston,,RR GROUPS,Apartment,13.0655951,77.577585
5137,DivyaSree Base Camp,,Divya Sree,Plot,,
5138,Mytri Palace,,Mytri Developers,Apartment,12.9066584,77.6041111
5139,ETA Benson Boulevard,,ETA Star Property Developers Ltd,Apartment,,
5140,Golden Heritage,,Golden Nest Builders And Developers,Apartment,,
5141,VRR Heritage,,VRR Constructioins Pvt Ltd,Apartment,12.9779794,77.69253189999999
5142,Sekhar Casa Bianca,,Sekhar Developers,Apartment,12.9545649,77.70045669999999
5143,Aero Royal,,Aishwarya Estates Developers,Plot,,
5144,Mega Rajarajeshwari Bliss,,Mega,Apartment,,
5145,Taapasi Rosebay,,Taapasi Shelters,Plot,13.124285,77.648663
5146,AVS Jasmine Valley,,AVS Villas,Villa or Rowhouse,12.8229716,77.856414
5147,ABD Serenity,,ABD Infra India Ltd,Apartment,,
5148,Ranka Aquagreens,,DRA Projects Pvt Ltd,Apartment,12.9157598,77.48598969999999
5149,Axis Amairo,,Axis Concept Construction,Apartment,12.9028539,77.59308779999999
5150,Sreedhara Giri,,Benaka Enterprises,Plot,,
5151,PSR Pavillion,,PSR Group Of Companies,Apartment,13.0401081,77.59334729999999
5152,RVS Sumeru,,RV Shelters,Apartment,12.874239,77.532539
5153,Sycon Maitri,,Sycon Constructions,Villa or Rowhouse,13.0202187,77.754237
5154,Nagarjuna Gardens,,Sai Arvind Builders Pvt Ltd,Apartment,13.064242,77.5879369
5155,Imperium Endellion,,Imperium Constructions,Apartment,,
5156,Govianu Ace Grand,PRM/KA/RERA/1251/446/PR/180425/001545,Govianu,Apartment,13.0218481,77.5388352
5157,LG Enclave,,Bhumi Constructions And Developers,Plot,,
5158,Golden Grand,,Golden Gate,Apartment,,
5159,Nandi Elite,,Nandi Housing,Apartment,,
5160,Samskruti Indus Valley,,Samskruti Builders Pvt Ltd,Plot,,
5161,Amruthas Sparkling Nest,,Amrutha Constructions,Apartment,12.9878241,77.6986816
5162,Baldota Elegant,PRM/KA/RERA/1251/310/PR/171031/001588,Baldota Group,Apartment,12.9596769,77.4950917
5163,Aishwarya Aerogrand,,Aishwarya Estates Developers,Plot,,
5164,Skanda Sky,,Skanda Buildtech Pvt Ltd,Apartment,12.93653,77.6976427
5165,Prime Nestor,,Prime Estate Developers Builders,Apartment,,
5166,Nishitas Vintage View,,Nishitas Properties,Apartment,12.9006881,77.618664
5167,Dwaraka Sai Bageecha,,Dwaraka Developers,Apartment,,
5168,Spoorthi Saahitya,,Spoorthi Developers and Builders,Apartment,,
5169,Eco Front,,Celebrity Prime Developers,Plot,,
5170,BM Golden Springs,,BM Developers,Apartment,,
5171,BM Splendor Park,,BM Developers,Apartment,12.9668483,77.7375393
5172,Bindu Amulya,,Bindu Promoters And Developers,Apartment,12.9827302,77.48865959999999
5173,Pristine Sindhu,,Pristine,Apartment,12.8838854,77.54710229999999
5174,Mahaveer Tuscan,,Mahaveer Group,Apartment,12.9909897,77.71719139999999
5175,Vintage Elite A Block,,Vintage Shelters,Apartment,12.8938666,77.6125758
5176,Sai Gowri Residency,,Sai Gowri Developers,Apartment,12.9820931,77.6648735
